"language","nodes","edges","density","mean_degree","max_degree","components","largest_component","clustering_coefficient","assortativity","modularity","N_obs","Duration","NS","ShE","ID"
"DEU",7499,99365,0.003534391408674,26.5008667822376,3342,1,7499,0.0504237911010849,-0.239104632159875,0.18086677801657,75,16.0624,95.4,9.3,6.08
"ENG",8351,134022,0.00384398010349795,32.0972338642079,5097,1,8351,0.0428075766205395,-0.210049230640447,0.168164747556453,60,13.015,81.6666666666667,9.51,7.09
"EUS",8378,92912,0.00264772534625652,22.1799952255908,4846,1,8378,0.03328710179699,-0.114292551634108,0.230884222205385,150,15.0602,112.333333333333,8.32,4.83
"FIN",8224,75051,0.00221959167391832,18.2517023346303,3937,1,8224,0.0274202855076631,-0.105334956230844,0.258060131649706,150,14.5928,104,9.54,5.49
"FRA",8527,121316,0.00333738636123238,28.4545561158672,5021,1,8527,0.0359309226187772,-0.278754282565818,0.199317456889721,150,13.3911333333333,91.3333333333333,8.39,6.68
"HUN",10465,113530,0.00207349823424813,21.6970855231725,8306,1,10465,0.0184016349539283,-0.119553954276856,0.207759150895796,150,17.8628,103.266666666667,9.83,5.9
"ITA",8581,125155,0.00339979718839992,29.1702598764713,4347,1,8581,0.0417360316449687,-0.246844728510789,0.181562301649401,54,14.4931481481481,101.833333333333,8.32,5.29
"SPA",9275,127747,0.00297029576353798,27.5465229110512,6034,1,9275,0.0260420840916984,-0.254839549085265,0.176703443188013,150,15.2272666666667,117.2,8.32,5.43
"SRP",10722,120671,0.00209952866520131,22.5090468196232,6067,1,10722,0.0235133674763659,-0.163677881182356,0.258476894224217,150,15.1915333333333,107.6,8.79,5.47
