"from","to","weight","language"
"1","1",255,"HUN"
"1","2",175,"HUN"
"2","2",27,"HUN"
"1","3",562,"HUN"
"2","3",193,"HUN"
"3","3",9,"HUN"
"1","4",383,"HUN"
"2","4",180,"HUN"
"3","4",13,"HUN"
"4","4",2,"HUN"
"1","5",179,"HUN"
"2","5",65,"HUN"
"3","5",34,"HUN"
"4","5",36,"HUN"
"1","6",63,"HUN"
"2","6",24,"HUN"
"3","6",32,"HUN"
"4","6",28,"HUN"
"5","6",22,"HUN"
"1","7",49,"HUN"
"2","7",15,"HUN"
"3","7",26,"HUN"
"4","7",40,"HUN"
"5","7",22,"HUN"
"6","7",9,"HUN"
"7","7",18,"HUN"
"1","8",153,"HUN"
"2","8",59,"HUN"
"3","8",2,"HUN"
"4","8",2,"HUN"
"5","8",1,"HUN"
"6","8",7,"HUN"
"7","8",10,"HUN"
"8","8",2,"HUN"
"1","9",89,"HUN"
"2","9",40,"HUN"
"3","9",12,"HUN"
"4","9",15,"HUN"
"5","9",20,"HUN"
"6","9",14,"HUN"
"7","9",8,"HUN"
"1","10",70,"HUN"
"2","10",36,"HUN"
"3","10",4,"HUN"
"4","10",2,"HUN"
"5","10",8,"HUN"
"6","10",14,"HUN"
"7","10",3,"HUN"
"9","10",3,"HUN"
"1","11",72,"HUN"
"2","11",38,"HUN"
"3","11",6,"HUN"
"4","11",13,"HUN"
"5","11",13,"HUN"
"6","11",27,"HUN"
"7","11",8,"HUN"
"8","11",2,"HUN"
"9","11",3,"HUN"
"10","11",6,"HUN"
"1","12",47,"HUN"
"2","12",18,"HUN"
"3","12",3,"HUN"
"4","12",8,"HUN"
"5","12",10,"HUN"
"6","12",24,"HUN"
"7","12",6,"HUN"
"8","12",3,"HUN"
"9","12",4,"HUN"
"10","12",10,"HUN"
"11","12",4,"HUN"
"12","12",2,"HUN"
"1","13",31,"HUN"
"2","13",8,"HUN"
"3","13",6,"HUN"
"4","13",31,"HUN"
"5","13",36,"HUN"
"6","13",6,"HUN"
"7","13",1,"HUN"
"8","13",1,"HUN"
"9","13",1,"HUN"
"10","13",7,"HUN"
"11","13",1,"HUN"
"12","13",2,"HUN"
"1","14",44,"HUN"
"2","14",11,"HUN"
"3","14",9,"HUN"
"4","14",9,"HUN"
"5","14",6,"HUN"
"6","14",23,"HUN"
"7","14",9,"HUN"
"8","14",3,"HUN"
"9","14",5,"HUN"
"10","14",10,"HUN"
"11","14",2,"HUN"
"13","14",1,"HUN"
"1","15",70,"HUN"
"2","15",26,"HUN"
"3","15",8,"HUN"
"4","15",10,"HUN"
"5","15",5,"HUN"
"6","15",4,"HUN"
"7","15",6,"HUN"
"8","15",1,"HUN"
"10","15",1,"HUN"
"14","15",2,"HUN"
"1","16",52,"HUN"
"2","16",23,"HUN"
"3","16",8,"HUN"
"4","16",6,"HUN"
"5","16",7,"HUN"
"6","16",18,"HUN"
"7","16",8,"HUN"
"8","16",1,"HUN"
"10","16",3,"HUN"
"11","16",1,"HUN"
"12","16",7,"HUN"
"13","16",3,"HUN"
"14","16",11,"HUN"
"16","16",1,"HUN"
"1","17",54,"HUN"
"2","17",23,"HUN"
"3","17",2,"HUN"
"4","17",3,"HUN"
"5","17",1,"HUN"
"6","17",5,"HUN"
"7","17",10,"HUN"
"8","17",2,"HUN"
"9","17",1,"HUN"
"11","17",1,"HUN"
"12","17",3,"HUN"
"13","17",4,"HUN"
"14","17",5,"HUN"
"15","17",2,"HUN"
"16","17",1,"HUN"
"1","18",52,"HUN"
"2","18",17,"HUN"
"3","18",9,"HUN"
"4","18",14,"HUN"
"5","18",4,"HUN"
"6","18",3,"HUN"
"7","18",3,"HUN"
"9","18",2,"HUN"
"10","18",3,"HUN"
"11","18",1,"HUN"
"12","18",1,"HUN"
"13","18",2,"HUN"
"18","18",2,"HUN"
"1","19",133,"HUN"
"2","19",1,"HUN"
"3","19",5,"HUN"
"4","19",1,"HUN"
"5","19",8,"HUN"
"6","19",1,"HUN"
"7","19",3,"HUN"
"8","19",2,"HUN"
"9","19",1,"HUN"
"1","20",13,"HUN"
"2","20",4,"HUN"
"3","20",10,"HUN"
"4","20",2,"HUN"
"5","20",16,"HUN"
"7","20",1,"HUN"
"8","20",3,"HUN"
"9","20",3,"HUN"
"10","20",1,"HUN"
"11","20",1,"HUN"
"12","20",7,"HUN"
"14","20",2,"HUN"
"15","20",1,"HUN"
"17","20",2,"HUN"
"18","20",1,"HUN"
"1","21",32,"HUN"
"2","21",10,"HUN"
"3","21",5,"HUN"
"4","21",7,"HUN"
"5","21",12,"HUN"
"7","21",10,"HUN"
"10","21",2,"HUN"
"12","21",1,"HUN"
"14","21",1,"HUN"
"16","21",1,"HUN"
"20","21",2,"HUN"
"1","22",38,"HUN"
"2","22",16,"HUN"
"3","22",1,"HUN"
"5","22",4,"HUN"
"7","22",8,"HUN"
"8","22",1,"HUN"
"9","22",1,"HUN"
"10","22",2,"HUN"
"11","22",2,"HUN"
"12","22",1,"HUN"
"13","22",4,"HUN"
"15","22",3,"HUN"
"18","22",4,"HUN"
"20","22",70,"HUN"
"1","23",61,"HUN"
"2","23",1,"HUN"
"3","23",11,"HUN"
"4","23",2,"HUN"
"5","23",7,"HUN"
"7","23",7,"HUN"
"8","23",1,"HUN"
"14","23",2,"HUN"
"15","23",1,"HUN"
"17","23",1,"HUN"
"22","23",2,"HUN"
"1","24",38,"HUN"
"2","24",18,"HUN"
"3","24",3,"HUN"
"4","24",16,"HUN"
"5","24",6,"HUN"
"6","24",3,"HUN"
"7","24",1,"HUN"
"9","24",1,"HUN"
"12","24",2,"HUN"
"14","24",1,"HUN"
"15","24",1,"HUN"
"17","24",1,"HUN"
"19","24",1,"HUN"
"21","24",2,"HUN"
"1","25",5,"HUN"
"2","25",11,"HUN"
"3","25",5,"HUN"
"5","25",1,"HUN"
"7","25",1,"HUN"
"8","25",1,"HUN"
"9","25",1,"HUN"
"16","25",1,"HUN"
"17","25",3,"HUN"
"25","25",7,"HUN"
"1","26",29,"HUN"
"2","26",12,"HUN"
"3","26",2,"HUN"
"4","26",1,"HUN"
"6","26",8,"HUN"
"9","26",1,"HUN"
"11","26",2,"HUN"
"12","26",2,"HUN"
"13","26",1,"HUN"
"14","26",2,"HUN"
"16","26",3,"HUN"
"17","26",2,"HUN"
"21","26",2,"HUN"
"1","27",38,"HUN"
"2","27",13,"HUN"
"3","27",2,"HUN"
"4","27",1,"HUN"
"5","27",2,"HUN"
"6","27",1,"HUN"
"7","27",2,"HUN"
"8","27",1,"HUN"
"9","27",3,"HUN"
"11","27",2,"HUN"
"12","27",1,"HUN"
"13","27",1,"HUN"
"14","27",2,"HUN"
"15","27",3,"HUN"
"16","27",1,"HUN"
"18","27",2,"HUN"
"24","27",1,"HUN"
"26","27",1,"HUN"
"1","28",4,"HUN"
"2","28",108,"HUN"
"3","28",3,"HUN"
"4","28",2,"HUN"
"5","28",1,"HUN"
"6","28",1,"HUN"
"8","28",1,"HUN"
"12","28",1,"HUN"
"26","28",1,"HUN"
"1","29",32,"HUN"
"2","29",19,"HUN"
"3","29",6,"HUN"
"4","29",18,"HUN"
"5","29",10,"HUN"
"6","29",6,"HUN"
"7","29",2,"HUN"
"8","29",6,"HUN"
"10","29",5,"HUN"
"11","29",6,"HUN"
"13","29",2,"HUN"
"14","29",2,"HUN"
"16","29",5,"HUN"
"17","29",2,"HUN"
"20","29",1,"HUN"
"21","29",1,"HUN"
"24","29",1,"HUN"
"27","29",1,"HUN"
"1","30",28,"HUN"
"2","30",9,"HUN"
"3","30",2,"HUN"
"4","30",3,"HUN"
"6","30",3,"HUN"
"7","30",2,"HUN"
"9","30",4,"HUN"
"10","30",2,"HUN"
"11","30",3,"HUN"
"12","30",2,"HUN"
"13","30",2,"HUN"
"17","30",1,"HUN"
"18","30",2,"HUN"
"26","30",1,"HUN"
"30","30",1,"HUN"
"1","31",40,"HUN"
"2","31",14,"HUN"
"3","31",6,"HUN"
"4","31",5,"HUN"
"5","31",10,"HUN"
"6","31",7,"HUN"
"7","31",2,"HUN"
"8","31",1,"HUN"
"9","31",2,"HUN"
"10","31",3,"HUN"
"11","31",1,"HUN"
"13","31",2,"HUN"
"14","31",3,"HUN"
"16","31",3,"HUN"
"18","31",2,"HUN"
"20","31",1,"HUN"
"21","31",3,"HUN"
"24","31",1,"HUN"
"27","31",1,"HUN"
"29","31",1,"HUN"
"1","32",32,"HUN"
"2","32",8,"HUN"
"3","32",3,"HUN"
"5","32",7,"HUN"
"7","32",2,"HUN"
"10","32",1,"HUN"
"12","32",4,"HUN"
"13","32",1,"HUN"
"14","32",1,"HUN"
"15","32",2,"HUN"
"16","32",1,"HUN"
"17","32",1,"HUN"
"18","32",1,"HUN"
"23","32",2,"HUN"
"25","32",1,"HUN"
"29","32",1,"HUN"
"30","32",3,"HUN"
"1","33",15,"HUN"
"2","33",50,"HUN"
"3","33",8,"HUN"
"4","33",3,"HUN"
"5","33",2,"HUN"
"6","33",1,"HUN"
"7","33",9,"HUN"
"12","33",1,"HUN"
"15","33",1,"HUN"
"18","33",1,"HUN"
"20","33",2,"HUN"
"21","33",1,"HUN"
"27","33",1,"HUN"
"1","34",45,"HUN"
"2","34",12,"HUN"
"3","34",1,"HUN"
"4","34",3,"HUN"
"6","34",5,"HUN"
"7","34",4,"HUN"
"10","34",1,"HUN"
"16","34",2,"HUN"
"21","34",2,"HUN"
"28","34",1,"HUN"
"30","34",3,"HUN"
"34","34",1,"HUN"
"1","35",37,"HUN"
"2","35",9,"HUN"
"3","35",3,"HUN"
"4","35",1,"HUN"
"5","35",4,"HUN"
"6","35",21,"HUN"
"7","35",2,"HUN"
"8","35",5,"HUN"
"9","35",1,"HUN"
"12","35",1,"HUN"
"13","35",5,"HUN"
"14","35",3,"HUN"
"16","35",3,"HUN"
"20","35",2,"HUN"
"21","35",1,"HUN"
"26","35",1,"HUN"
"27","35",1,"HUN"
"29","35",4,"HUN"
"32","35",2,"HUN"
"1","36",33,"HUN"
"2","36",4,"HUN"
"3","36",7,"HUN"
"4","36",4,"HUN"
"5","36",1,"HUN"
"6","36",1,"HUN"
"7","36",3,"HUN"
"8","36",1,"HUN"
"9","36",1,"HUN"
"10","36",1,"HUN"
"16","36",2,"HUN"
"20","36",2,"HUN"
"29","36",3,"HUN"
"31","36",1,"HUN"
"1","37",26,"HUN"
"2","37",9,"HUN"
"3","37",9,"HUN"
"5","37",1,"HUN"
"6","37",1,"HUN"
"7","37",3,"HUN"
"15","37",1,"HUN"
"19","37",1,"HUN"
"20","37",1,"HUN"
"21","37",1,"HUN"
"30","37",1,"HUN"
"35","37",1,"HUN"
"1","38",27,"HUN"
"2","38",12,"HUN"
"3","38",4,"HUN"
"5","38",5,"HUN"
"6","38",6,"HUN"
"7","38",1,"HUN"
"8","38",1,"HUN"
"9","38",1,"HUN"
"10","38",2,"HUN"
"11","38",4,"HUN"
"12","38",1,"HUN"
"13","38",4,"HUN"
"14","38",4,"HUN"
"15","38",1,"HUN"
"17","38",2,"HUN"
"21","38",2,"HUN"
"24","38",2,"HUN"
"26","38",2,"HUN"
"27","38",1,"HUN"
"33","38",1,"HUN"
"36","38",1,"HUN"
"1","39",8,"HUN"
"2","39",72,"HUN"
"3","39",9,"HUN"
"9","39",1,"HUN"
"15","39",1,"HUN"
"17","39",1,"HUN"
"19","39",2,"HUN"
"23","39",2,"HUN"
"30","39",1,"HUN"
"36","39",1,"HUN"
"38","39",1,"HUN"
"1","40",5,"HUN"
"2","40",55,"HUN"
"3","40",5,"HUN"
"4","40",2,"HUN"
"5","40",1,"HUN"
"7","40",3,"HUN"
"8","40",1,"HUN"
"9","40",2,"HUN"
"10","40",2,"HUN"
"11","40",1,"HUN"
"29","40",1,"HUN"
"30","40",2,"HUN"
"33","40",2,"HUN"
"36","40",1,"HUN"
"1","41",21,"HUN"
"2","41",4,"HUN"
"3","41",4,"HUN"
"4","41",10,"HUN"
"5","41",2,"HUN"
"6","41",3,"HUN"
"7","41",3,"HUN"
"8","41",2,"HUN"
"9","41",7,"HUN"
"14","41",1,"HUN"
"15","41",3,"HUN"
"16","41",1,"HUN"
"18","41",2,"HUN"
"24","41",2,"HUN"
"26","41",1,"HUN"
"27","41",2,"HUN"
"29","41",1,"HUN"
"30","41",1,"HUN"
"34","41",1,"HUN"
"1","42",24,"HUN"
"2","42",8,"HUN"
"3","42",2,"HUN"
"4","42",2,"HUN"
"5","42",3,"HUN"
"6","42",5,"HUN"
"7","42",7,"HUN"
"8","42",2,"HUN"
"9","42",2,"HUN"
"11","42",3,"HUN"
"12","42",3,"HUN"
"13","42",2,"HUN"
"15","42",1,"HUN"
"17","42",2,"HUN"
"18","42",1,"HUN"
"24","42",1,"HUN"
"31","42",1,"HUN"
"39","42",1,"HUN"
"1","43",27,"HUN"
"2","43",10,"HUN"
"3","43",8,"HUN"
"4","43",10,"HUN"
"5","43",3,"HUN"
"6","43",9,"HUN"
"7","43",3,"HUN"
"8","43",2,"HUN"
"9","43",1,"HUN"
"10","43",4,"HUN"
"12","43",3,"HUN"
"13","43",2,"HUN"
"14","43",2,"HUN"
"16","43",2,"HUN"
"19","43",1,"HUN"
"20","43",1,"HUN"
"21","43",2,"HUN"
"22","43",1,"HUN"
"23","43",1,"HUN"
"29","43",2,"HUN"
"30","43",2,"HUN"
"31","43",1,"HUN"
"34","43",1,"HUN"
"35","43",2,"HUN"
"38","43",2,"HUN"
"40","43",1,"HUN"
"1","44",8,"HUN"
"2","44",6,"HUN"
"3","44",3,"HUN"
"4","44",5,"HUN"
"5","44",8,"HUN"
"6","44",4,"HUN"
"7","44",12,"HUN"
"8","44",3,"HUN"
"10","44",3,"HUN"
"11","44",3,"HUN"
"12","44",1,"HUN"
"20","44",2,"HUN"
"21","44",1,"HUN"
"22","44",3,"HUN"
"26","44",1,"HUN"
"29","44",3,"HUN"
"36","44",1,"HUN"
"37","44",1,"HUN"
"39","44",1,"HUN"
"40","44",2,"HUN"
"42","44",1,"HUN"
"1","45",35,"HUN"
"2","45",11,"HUN"
"3","45",7,"HUN"
"4","45",6,"HUN"
"5","45",5,"HUN"
"6","45",4,"HUN"
"7","45",5,"HUN"
"10","45",1,"HUN"
"12","45",1,"HUN"
"14","45",2,"HUN"
"16","45",1,"HUN"
"18","45",1,"HUN"
"22","45",1,"HUN"
"28","45",1,"HUN"
"30","45",1,"HUN"
"31","45",2,"HUN"
"41","45",2,"HUN"
"43","45",1,"HUN"
"1","46",9,"HUN"
"2","46",3,"HUN"
"3","46",4,"HUN"
"7","46",1,"HUN"
"11","46",2,"HUN"
"16","46",1,"HUN"
"17","46",2,"HUN"
"22","46",2,"HUN"
"25","46",13,"HUN"
"26","46",1,"HUN"
"31","46",1,"HUN"
"32","46",1,"HUN"
"37","46",1,"HUN"
"46","46",5,"HUN"
"1","47",19,"HUN"
"2","47",12,"HUN"
"4","47",5,"HUN"
"5","47",14,"HUN"
"6","47",11,"HUN"
"7","47",1,"HUN"
"9","47",2,"HUN"
"10","47",3,"HUN"
"12","47",1,"HUN"
"13","47",1,"HUN"
"14","47",1,"HUN"
"16","47",1,"HUN"
"18","47",1,"HUN"
"24","47",1,"HUN"
"25","47",1,"HUN"
"27","47",4,"HUN"
"29","47",3,"HUN"
"30","47",4,"HUN"
"31","47",2,"HUN"
"36","47",1,"HUN"
"43","47",1,"HUN"
"45","47",1,"HUN"
"1","48",22,"HUN"
"2","48",15,"HUN"
"3","48",3,"HUN"
"4","48",4,"HUN"
"5","48",2,"HUN"
"6","48",12,"HUN"
"7","48",2,"HUN"
"10","48",3,"HUN"
"14","48",2,"HUN"
"27","48",1,"HUN"
"29","48",3,"HUN"
"30","48",3,"HUN"
"31","48",1,"HUN"
"39","48",1,"HUN"
"42","48",2,"HUN"
"43","48",2,"HUN"
"1","49",9,"HUN"
"2","49",8,"HUN"
"3","49",6,"HUN"
"4","49",35,"HUN"
"5","49",13,"HUN"
"11","49",2,"HUN"
"12","49",1,"HUN"
"14","49",1,"HUN"
"16","49",1,"HUN"
"21","49",2,"HUN"
"30","49",2,"HUN"
"37","49",1,"HUN"
"38","49",1,"HUN"
"45","49",2,"HUN"
"47","49",1,"HUN"
"1","50",11,"HUN"
"2","50",2,"HUN"
"3","50",3,"HUN"
"4","50",14,"HUN"
"5","50",4,"HUN"
"9","50",2,"HUN"
"10","50",2,"HUN"
"11","50",1,"HUN"
"12","50",1,"HUN"
"16","50",2,"HUN"
"17","50",4,"HUN"
"18","50",3,"HUN"
"34","50",1,"HUN"
"41","50",1,"HUN"
"45","50",1,"HUN"
"1","51",3,"HUN"
"2","51",5,"HUN"
"3","51",2,"HUN"
"7","51",1,"HUN"
"10","51",1,"HUN"
"21","51",1,"HUN"
"24","51",1,"HUN"
"26","51",1,"HUN"
"34","51",1,"HUN"
"38","51",1,"HUN"
"39","51",1,"HUN"
"48","51",1,"HUN"
"1","52",10,"HUN"
"5","52",1,"HUN"
"7","52",2,"HUN"
"10","52",1,"HUN"
"20","52",3,"HUN"
"23","52",1,"HUN"
"25","52",10,"HUN"
"45","52",1,"HUN"
"46","52",5,"HUN"
"1","53",26,"HUN"
"2","53",6,"HUN"
"3","53",3,"HUN"
"4","53",3,"HUN"
"5","53",18,"HUN"
"6","53",1,"HUN"
"7","53",3,"HUN"
"8","53",2,"HUN"
"11","53",1,"HUN"
"12","53",13,"HUN"
"13","53",1,"HUN"
"14","53",2,"HUN"
"15","53",1,"HUN"
"16","53",3,"HUN"
"17","53",2,"HUN"
"20","53",1,"HUN"
"21","53",1,"HUN"
"23","53",1,"HUN"
"29","53",1,"HUN"
"31","53",1,"HUN"
"32","53",1,"HUN"
"35","53",2,"HUN"
"36","53",1,"HUN"
"38","53",1,"HUN"
"41","53",1,"HUN"
"42","53",1,"HUN"
"43","53",1,"HUN"
"48","53",1,"HUN"
"49","53",1,"HUN"
"50","53",3,"HUN"
"1","54",2,"HUN"
"2","54",6,"HUN"
"3","54",5,"HUN"
"5","54",1,"HUN"
"7","54",1,"HUN"
"12","54",1,"HUN"
"17","54",1,"HUN"
"25","54",4,"HUN"
"27","54",1,"HUN"
"37","54",1,"HUN"
"46","54",7,"HUN"
"51","54",1,"HUN"
"52","54",8,"HUN"
"53","54",1,"HUN"
"54","54",3,"HUN"
"1","55",1,"HUN"
"2","55",2,"HUN"
"3","55",1,"HUN"
"11","55",1,"HUN"
"17","55",1,"HUN"
"20","55",7,"HUN"
"22","55",1,"HUN"
"25","55",2,"HUN"
"44","55",1,"HUN"
"45","55",1,"HUN"
"46","55",1,"HUN"
"54","55",1,"HUN"
"1","56",11,"HUN"
"2","56",10,"HUN"
"3","56",4,"HUN"
"4","56",3,"HUN"
"5","56",11,"HUN"
"6","56",5,"HUN"
"7","56",2,"HUN"
"10","56",3,"HUN"
"11","56",1,"HUN"
"12","56",3,"HUN"
"13","56",4,"HUN"
"14","56",9,"HUN"
"16","56",4,"HUN"
"17","56",1,"HUN"
"18","56",1,"HUN"
"26","56",1,"HUN"
"27","56",1,"HUN"
"29","56",2,"HUN"
"30","56",1,"HUN"
"33","56",1,"HUN"
"36","56",1,"HUN"
"38","56",1,"HUN"
"42","56",1,"HUN"
"43","56",1,"HUN"
"50","56",2,"HUN"
"53","56",3,"HUN"
"1","57",4,"HUN"
"2","57",3,"HUN"
"3","57",6,"HUN"
"4","57",9,"HUN"
"5","57",1,"HUN"
"6","57",1,"HUN"
"8","57",6,"HUN"
"10","57",2,"HUN"
"14","57",2,"HUN"
"16","57",1,"HUN"
"17","57",1,"HUN"
"19","57",1,"HUN"
"20","57",1,"HUN"
"24","57",1,"HUN"
"28","57",1,"HUN"
"34","57",1,"HUN"
"35","57",1,"HUN"
"38","57",1,"HUN"
"42","57",3,"HUN"
"43","57",1,"HUN"
"44","57",2,"HUN"
"50","57",1,"HUN"
"1","58",12,"HUN"
"2","58",1,"HUN"
"3","58",3,"HUN"
"4","58",2,"HUN"
"7","58",1,"HUN"
"9","58",1,"HUN"
"17","58",2,"HUN"
"22","58",1,"HUN"
"25","58",9,"HUN"
"26","58",1,"HUN"
"46","58",6,"HUN"
"52","58",7,"HUN"
"54","58",9,"HUN"
"55","58",2,"HUN"
"58","58",2,"HUN"
"1","59",1,"HUN"
"5","59",1,"HUN"
"7","59",1,"HUN"
"20","59",1,"HUN"
"25","59",7,"HUN"
"46","59",5,"HUN"
"54","59",6,"HUN"
"55","59",4,"HUN"
"58","59",3,"HUN"
"1","60",28,"HUN"
"2","60",8,"HUN"
"3","60",1,"HUN"
"4","60",4,"HUN"
"5","60",1,"HUN"
"6","60",1,"HUN"
"7","60",3,"HUN"
"8","60",1,"HUN"
"9","60",2,"HUN"
"10","60",1,"HUN"
"11","60",3,"HUN"
"12","60",1,"HUN"
"13","60",1,"HUN"
"14","60",1,"HUN"
"15","60",1,"HUN"
"16","60",1,"HUN"
"17","60",2,"HUN"
"18","60",1,"HUN"
"24","60",1,"HUN"
"27","60",1,"HUN"
"40","60",1,"HUN"
"43","60",1,"HUN"
"45","60",1,"HUN"
"56","60",1,"HUN"
"1","61",3,"HUN"
"20","61",1,"HUN"
"25","61",4,"HUN"
"27","61",1,"HUN"
"46","61",3,"HUN"
"54","61",5,"HUN"
"55","61",1,"HUN"
"58","61",7,"HUN"
"59","61",3,"HUN"
"1","62",1,"HUN"
"2","62",66,"HUN"
"3","62",2,"HUN"
"5","62",1,"HUN"
"7","62",1,"HUN"
"19","62",1,"HUN"
"25","62",1,"HUN"
"31","62",1,"HUN"
"57","62",1,"HUN"
"1","63",28,"HUN"
"2","63",13,"HUN"
"3","63",1,"HUN"
"5","63",5,"HUN"
"6","63",7,"HUN"
"8","63",1,"HUN"
"11","63",1,"HUN"
"12","63",1,"HUN"
"14","63",1,"HUN"
"16","63",2,"HUN"
"18","63",1,"HUN"
"21","63",4,"HUN"
"26","63",1,"HUN"
"29","63",2,"HUN"
"30","63",1,"HUN"
"31","63",1,"HUN"
"35","63",1,"HUN"
"40","63",1,"HUN"
"41","63",1,"HUN"
"43","63",2,"HUN"
"57","63",1,"HUN"
"1","64",46,"HUN"
"2","64",14,"HUN"
"3","64",12,"HUN"
"4","64",1,"HUN"
"7","64",5,"HUN"
"10","64",1,"HUN"
"12","64",1,"HUN"
"28","64",1,"HUN"
"33","64",1,"HUN"
"45","64",1,"HUN"
"49","64",1,"HUN"
"1","65",30,"HUN"
"2","65",5,"HUN"
"3","65",1,"HUN"
"5","65",2,"HUN"
"6","65",3,"HUN"
"7","65",3,"HUN"
"8","65",4,"HUN"
"9","65",2,"HUN"
"11","65",1,"HUN"
"12","65",2,"HUN"
"15","65",3,"HUN"
"19","65",1,"HUN"
"21","65",3,"HUN"
"51","65",1,"HUN"
"63","65",1,"HUN"
"1","66",24,"HUN"
"2","66",4,"HUN"
"3","66",1,"HUN"
"4","66",3,"HUN"
"5","66",5,"HUN"
"7","66",1,"HUN"
"11","66",1,"HUN"
"23","66",1,"HUN"
"28","66",1,"HUN"
"29","66",2,"HUN"
"31","66",1,"HUN"
"33","66",1,"HUN"
"38","66",2,"HUN"
"43","66",1,"HUN"
"63","66",1,"HUN"
"1","67",67,"HUN"
"2","67",4,"HUN"
"3","67",5,"HUN"
"6","67",2,"HUN"
"7","67",1,"HUN"
"8","67",1,"HUN"
"11","67",1,"HUN"
"13","67",2,"HUN"
"19","67",9,"HUN"
"20","67",1,"HUN"
"28","67",2,"HUN"
"30","67",1,"HUN"
"35","67",1,"HUN"
"45","67",1,"HUN"
"55","67",1,"HUN"
"1","68",26,"HUN"
"2","68",8,"HUN"
"3","68",2,"HUN"
"5","68",2,"HUN"
"6","68",2,"HUN"
"7","68",5,"HUN"
"17","68",1,"HUN"
"20","68",2,"HUN"
"23","68",1,"HUN"
"29","68",2,"HUN"
"33","68",1,"HUN"
"57","68",1,"HUN"
"63","68",1,"HUN"
"1","69",20,"HUN"
"2","69",2,"HUN"
"3","69",1,"HUN"
"5","69",2,"HUN"
"9","69",2,"HUN"
"11","69",12,"HUN"
"19","69",1,"HUN"
"25","69",2,"HUN"
"31","69",1,"HUN"
"37","69",2,"HUN"
"43","69",1,"HUN"
"46","69",1,"HUN"
"54","69",1,"HUN"
"55","69",9,"HUN"
"58","69",1,"HUN"
"59","69",21,"HUN"
"61","69",15,"HUN"
"1","70",1,"HUN"
"2","70",52,"HUN"
"3","70",2,"HUN"
"4","70",2,"HUN"
"8","70",1,"HUN"
"19","70",2,"HUN"
"20","70",1,"HUN"
"23","70",1,"HUN"
"28","70",10,"HUN"
"53","70",1,"HUN"
"55","70",1,"HUN"
"61","70",1,"HUN"
"67","70",1,"HUN"
"1","71",21,"HUN"
"2","71",8,"HUN"
"4","71",7,"HUN"
"5","71",1,"HUN"
"6","71",4,"HUN"
"10","71",1,"HUN"
"11","71",1,"HUN"
"13","71",31,"HUN"
"14","71",1,"HUN"
"15","71",4,"HUN"
"18","71",2,"HUN"
"22","71",1,"HUN"
"26","71",1,"HUN"
"29","71",1,"HUN"
"36","71",1,"HUN"
"37","71",1,"HUN"
"43","71",1,"HUN"
"48","71",2,"HUN"
"50","71",1,"HUN"
"1","72",6,"HUN"
"2","72",5,"HUN"
"3","72",2,"HUN"
"6","72",2,"HUN"
"7","72",1,"HUN"
"12","72",1,"HUN"
"17","72",3,"HUN"
"19","72",1,"HUN"
"27","72",2,"HUN"
"42","72",1,"HUN"
"46","72",1,"HUN"
"1","73",2,"HUN"
"2","73",23,"HUN"
"5","73",2,"HUN"
"7","73",4,"HUN"
"16","73",1,"HUN"
"23","73",3,"HUN"
"32","73",2,"HUN"
"39","73",3,"HUN"
"40","73",3,"HUN"
"57","73",1,"HUN"
"58","73",1,"HUN"
"73","73",1,"HUN"
"1","74",21,"HUN"
"2","74",4,"HUN"
"3","74",1,"HUN"
"4","74",1,"HUN"
"6","74",1,"HUN"
"7","74",2,"HUN"
"9","74",1,"HUN"
"10","74",1,"HUN"
"12","74",1,"HUN"
"13","74",1,"HUN"
"14","74",1,"HUN"
"29","74",1,"HUN"
"36","74",1,"HUN"
"41","74",1,"HUN"
"57","74",2,"HUN"
"69","74",1,"HUN"
"72","74",1,"HUN"
"1","75",8,"HUN"
"2","75",8,"HUN"
"4","75",1,"HUN"
"5","75",2,"HUN"
"7","75",2,"HUN"
"10","75",1,"HUN"
"15","75",1,"HUN"
"17","75",2,"HUN"
"18","75",2,"HUN"
"20","75",1,"HUN"
"21","75",2,"HUN"
"23","75",1,"HUN"
"25","75",2,"HUN"
"27","75",2,"HUN"
"47","75",1,"HUN"
"67","75",1,"HUN"
"69","75",1,"HUN"
"73","75",4,"HUN"
"1","76",6,"HUN"
"2","76",4,"HUN"
"3","76",6,"HUN"
"9","76",1,"HUN"
"16","76",2,"HUN"
"25","76",7,"HUN"
"35","76",1,"HUN"
"46","76",2,"HUN"
"58","76",1,"HUN"
"64","76",1,"HUN"
"73","76",1,"HUN"
"1","77",51,"HUN"
"3","77",3,"HUN"
"4","77",1,"HUN"
"8","77",1,"HUN"
"12","77",2,"HUN"
"14","77",1,"HUN"
"1","78",4,"HUN"
"4","78",16,"HUN"
"5","78",22,"HUN"
"6","78",4,"HUN"
"7","78",1,"HUN"
"8","78",1,"HUN"
"10","78",1,"HUN"
"11","78",1,"HUN"
"14","78",1,"HUN"
"17","78",1,"HUN"
"18","78",1,"HUN"
"21","78",1,"HUN"
"24","78",1,"HUN"
"30","78",2,"HUN"
"35","78",1,"HUN"
"41","78",1,"HUN"
"56","78",1,"HUN"
"64","78",1,"HUN"
"67","78",1,"HUN"
"1","79",8,"HUN"
"3","79",3,"HUN"
"7","79",1,"HUN"
"11","79",1,"HUN"
"17","79",1,"HUN"
"22","79",1,"HUN"
"25","79",6,"HUN"
"37","79",2,"HUN"
"38","79",1,"HUN"
"46","79",6,"HUN"
